查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
主品牌名称,流量排名,点击率(%),转化率(%)
云上谷村,903,0.00,0.00
悦百岁,903,0.00,0.00
中科三安,903,0.00,0.00
药约堂,903,0.00,0.00
艾益生（aiyisheng）,903,0.00,0.00
Granions,903,0.00,0.00
伶纤集,903,10.00,0.00
寻秦岭,903,0.00,0.00
百年益方,903,10.00,0.00
京都丛柏堂,903,0.00,0.00
育贝森 YOBENSON,903,60.00,0.00
元气码头,903,0.00,0.00
舒元康,903,0.00,0.00
伍福梦,903,10.00,0.00
加邮,903,0.00,0.00
瑞暖露,903,0.00,0.00
广庚堂,903,0.00,0.00
塑予,903,10.00,0.00
善元堂,904,0.00,0.00
麦金利,904,0.00,0.00
红枫叶,904,0.00,0.00
十二花香,904,0.00,0.00
阿波罗神力,904,44.44,0.00
蜂王牌,904,0.00,0.00
可滋元（keziyuan）,904,11.11,0.00
膳太,904,0.00,0.00
全倍健,904,0.00,0.00
兰山庄园,904,11.11,0.00
九春堂,904,0.00,0.00
LZJV,904,0.00,0.00
时珍拾遗,904,11.11,0.00
白小养,904,0.00,0.00
众久,904,0.00,0.00
裕房,904,0.00,0.00
禾健生,904,22.22,0.00
熊宝堂,904,0.00,0.00
凝世堂,904,0.00,0.00
叶医生,904,0.00,0.00
品中润PINZHONGRUN,904,0.00,0.00
铮御堂,904,0.00,0.00
目谷家,904,33.33,0.00
能量虎,904,44.44,0.00
赛乐康,904,0.00,0.00
坤达理,904,11.11,100.00
HIEUAILR,904,0.00,0.00
朗康林,904,0.00,0.00
蚓活力,904,0.00,0.00
京儿,905,0.00,0.00
康维他（Comvita）,905,0.00,0.00
龙角散,905,0.00,0.00
吉药,905,0.00,0.00
优卡丹,905,0.00,0.00
润达君,905,25.00,0.00
Amars,905,0.00,0.00
谷本道元,905,0.00,0.00
黄连之乡,905,0.00,0.00
天灵,905,0.00,0.00
御坊堂（yufangtang）,905,12.50,0.00
阿斯康健,905,0.00,0.00
泰城谷匠,905,25.00,50.00
楼兰蜜语,905,0.00,0.00
法思觅语,905,0.00,0.00
贝因美,905,0.00,0.00
王天晴,905,37.50,0.00
态乐美（TAILEMEI）,905,12.50,0.00
利孚（LEAFOO）,905,0.00,0.00
HYLLERS,905,0.00,0.00
纳通唯康（NATONSK）,905,12.50,0.00
今益元,905,0.00,0.00
代林春,905,0.00,0.00
梦之巅,905,0.00,0.00
伯润康,905,0.00,0.00
快速,905,0.00,0.00
德硕堂,905,12.50,0.00
尚美颂,905,0.00,0.00
护舒宝,906,0.00,0.00
纽徕佛（new life）,906,0.00,0.00
香港5utoys,906,0.00,0.00
林源春（Linyuanchuan）,906,0.00,0.00
维多莱解酒灵（vedora）,906,0.00,0.00
Jarrow,906,14.29,0.00
旗黄,906,0.00,0.00
金龙,906,0.00,0.00
膳力达（Pronitrio）,906,0.00,0.00
绿之韵（RESGREEN）,906,0.00,0.00
怀府街,906,0.00,0.00
辅滋堂,906,0.00,0.00
雅米佳,906,0.00,0.00
宫禧燕,906,0.00,0.00
ZOCI,906,0.00,0.00
乐家老铺,906,0.00,0.00
南启山,906,0.00,0.00
味香承,906,0.00,0.00
富生紫福临,906,0.00,0.00
国药集团天目湖,906,14.29,0.00
凰茎,906,0.00,0.00
健尔素,906,14.29,0.00
中恩特膳,906,0.00,0.00
盈养记忆,906,0.00,0.00
倍力战,906,14.29,0.00
纤本颜,906,14.29,0.00
依依红颜,906,14.29,0.00
畅颜舒,906,0.00,0.00
MRM,906,0.00,0.00
怡品堂,907,0.00,0.00
建莲,907,0.00,0.00
伟博（Webber Naturals）,907,0.00,0.00
福事多,907,0.00,0.00
清大广仁,907,0.00,0.00
安惠（AIphay）,907,0.00,0.00
维多莱,907,0.00,0.00
麦记,907,0.00,0.00
Ddrops,907,0.00,0.00
永龙,907,33.33,0.00
易加能,907,0.00,0.00
问君,907,0.00,0.00
CITRACAL,907,0.00,0.00
好大夫,907,0.00,0.00
康,907,0.00,0.00
朗小贝,907,0.00,0.00
御辉,907,0.00,0.00
神灵（SL）,907,0.00,0.00
葵花贝贝,907,16.67,0.00
阿盾,907,0.00,0.00
富元,907,0.00,0.00
漓果鲜,907,0.00,0.00
好望水,907,0.00,0.00
千古世医,907,0.00,0.00
养之计,907,0.00,0.00
振东五和 五和医养堂,907,16.67,0.00
早元,907,0.00,0.00
燕旭安,907,0.00,0.00
艾贝月,907,0.00,0.00
其他家,907,0.00,0.00
NATUREBELL,907,0.00,0.00
无牌,907,16.67,0.00
独角鳄,907,0.00,0.00
云教授,907,0.00,0.00
拾善方,907,0.00,0.00
弘燕,907,0.00,0.00
胶城阿胶,907,0.00,0.00
喜花堂,907,0.00,0.00
医町,907,0.00,0.00
勃锐精（Proxeed）,907,16.67,0.00
顺益堂,907,0.00,0.00
骄泉,907,16.67,0.00
蜜纽康（Manuka Health）,908,0.00,0.00
派多,908,0.00,0.00
柏维力,908,0.00,0.00
正康惠仁,908,0.00,0.00
贝蜜儿（Babymier）,908,0.00,0.00
国和堂（guohetang）,908,0.00,0.00
国康,908,0.00,0.00
鑫宝亿,908,0.00,0.00
KINGGOURD,908,0.00,0.00
金箭,908,0.00,0.00
康达康,908,0.00,0.00
NBB,908,0.00,0.00
古老东方,908,0.00,0.00
传承元和堂,908,0.00,0.00
岐伯堂,908,0.00,0.00
梦动,908,0.00,0.00
流连湾,908,0.00,0.00
克啦啦 （SUN CLARA）,908,0.00,0.00
滋御医,908,0.00,0.00
贝努滋,908,0.00,0.00
载德药业（ZAIDEYAOYE）,908,0.00,0.00
昕禾睿生,908,0.00,0.00
泽亦堂,908,0.00,0.00
胖村农,908,0.00,0.00
天中辅仁,908,0.00,0.00
国药集团,908,0.00,0.00
匠心华誉堂,908,0.00,0.00
燃律,908,0.00,0.00
中葵制药,908,0.00,0.00
卧佛,908,0.00,0.00
膳力多,908,0.00,0.00
御春集,908,0.00,0.00
寇林纳,908,0.00,0.00
魔术丝,908,0.00,0.00
万益蓝,908,0.00,0.00
山阳春,908,0.00,0.00
用茶日记,908,20.00,0.00
玉清饮,908,0.00,0.00
鑫玺,908,0.00,0.00
安诺康 ANNUAL KANG,908,20.00,0.00
AMYKON,908,0.00,0.00
POLLY QUEEN,908,0.00,0.00
亳凝俏,908,0.00,0.00
疆宝莱,908,0.00,0.00
康麦斯（K-Max）,909,0.00,0.00
丽波（LIBO）,909,0.00,0.00
同仁,909,0.00,0.00
金纳多（Ginkgo biloba hevert）,909,0.00,0.00
Life Extension,909,0.00,0.00
树铭,909,0.00,0.00
京都麒麟堂,909,0.00,0.00
感叹号,909,0.00,0.00
维乐维,909,0.00,0.00
高原圣果,909,0.00,0.00
星群,909,0.00,0.00
龙牡,909,0.00,0.00
万通,909,0.00,0.00
时珍,909,0.00,0.00
丫迷,909,0.00,0.00
金百通,909,0.00,0.00
金鸡,909,0.00,0.00
董欣（DXIN）,909,0.00,0.00
尧虎,909,0.00,0.00
济仁堂,909,0.00,0.00
振东五和,909,0.00,0.00
佑康泰,909,0.00,0.00
奇珍堂（CHEEZENTANG）,909,0.00,0.00
西域总督（XIYUZONGDU）,909,0.00,0.00
臻宛艾（ZHEN WAN AI）,909,0.00,0.00
李绅,909,0.00,0.00
正匡工房,909,0.00,0.00
BAILIMO,909,0.00,0.00
氧气能量（Oxyenergy）,909,0.00,0.00
致美悦颜,909,0.00,0.00
芯亦,909,0.00,0.00
誉药堂,909,0.00,0.00
马小养,909,0.00,0.00
谷亿满,909,0.00,0.00
川穹益康,909,0.00,0.00
崎野医生,909,0.00,0.00
安道正元,909,0.00,0.00
美乐家 MELALEUCA,909,0.00,0.00
白生升,909,0.00,0.00
SODUKU,909,0.00,0.00
健美生,909,0.00,0.00
五谷新势力,909,25.00,0.00
放山官,909,0.00,0.00
力康,909,0.00,0.00
御品圣宝,909,0.00,0.00
赛无双,909,0.00,0.00
葵花,909,0.00,0.00
纽倍乐,909,0.00,0.00
润康生,909,25.00,0.00
Healthy Care,909,0.00,0.00
国医,909,0.00,0.00
嘉膳之和,909,0.00,0.00
冠美安,909,0.00,0.00
采乐,910,0.00,0.00
御生堂,910,0.00,0.00
东革阿里（ACE）,910,0.00,0.00
NewChapter,910,0.00,0.00
益普利生,910,0.00,0.00
哈药六,910,0.00,0.00
佰思佳（Besica）,910,0.00,0.00
古方,910,0.00,0.00
妈咪爱（Ofmom ）,910,0.00,0.00
kammoy,910,0.00,0.00
血力,910,0.00,0.00
MASON NATURAL,910,0.00,0.00
石药集团（CSPC）,910,33.33,0.00
懷山源,910,0.00,0.00
橘红宝（JHB）,910,0.00,0.00
丰凯园实业（FENGKAIYUANSHIYE）,910,0.00,0.00
哈贝高,910,0.00,0.00
食味的初相,910,0.00,0.00
A perfect day,910,0.00,0.00
黑金刚,910,0.00,0.00
鹊华,910,0.00,0.00
静萱（jingxuan）,910,0.00,0.00
仙叫,910,0.00,0.00
明优堂,910,0.00,0.00
嘉德,910,0.00,0.00
甄裕堂,910,0.00,0.00
优维康,910,66.67,0.00
恒依堂,910,0.00,0.00
佳儿搭档,910,0.00,0.00
芈燕,910,0.00,0.00
慈醫華佗,910,0.00,0.00
ACO,910,0.00,0.00
BBLAB,910,0.00,0.00
今优咕噜,910,0.00,0.00
时珍世家 金系列,910,0.00,0.00
膳精方,910,0.00,0.00
本然重塑,910,0.00,0.00
玉妍坊,910,0.00,0.00
贤南堂,910,0.00,0.00
香港李时珍药业股份有限公司,910,0.00,0.00
零食符号（SNACKS SYMBOL）,910,0.00,0.00
北辉,910,0.00,0.00
同瑞健,910,0.00,0.00
温妙堂,910,0.00,0.00
致天然,910,0.00,0.00
养生达人,910,0.00,0.00
由仁堂,910,33.33,0.00
佗鹊堂,910,33.33,0.00
ABOK NUTRITION,910,33.33,0.00
COSAMIN,910,0.00,0.00
官益堂,910,0.00,0.00
健尔马（jemer）,911,0.00,0.00
康元,911,0.00,0.00
天狮（TIENS）,911,0.00,0.00
无限极,911,0.00,0.00
汉苑良方,911,0.00,0.00
澳天力（ALTRA）,911,50.00,0.00
汤普森（Thompson's）,911,0.00,0.00
天维美（Nature Made）,911,0.00,0.00
康仕莱諾（KangShiLaiNuo）,911,0.00,0.00
牛千岁,911,0.00,0.00
三康,911,0.00,0.00
鹿归春（luguichun）,911,0.00,0.00
金枪人,911,0.00,0.00
御隆,911,0.00,0.00
绿窈,911,0.00,0.00
孕味食足,911,0.00,0.00
修风梦,911,0.00,0.00
草珊瑚,911,0.00,0.00
信而来,911,0.00,0.00
朗迪,911,0.00,0.00
英雄,911,0.00,0.00
江中安可,911,0.00,0.00
米囹,911,0.00,0.00
美媛春,911,0.00,0.00
必理通,911,0.00,0.00
蕊草堂,911,0.00,0.00
沁晚香,911,0.00,0.00
金花坑,911,0.00,0.00
思香逢,911,0.00,0.00
美粥食客,911,0.00,0.00
林丰,911,0.00,0.00
小鹿蓝蓝,911,0.00,0.00
倍恩母,911,0.00,0.00
保元堂,911,0.00,0.00
澳乐乳（OZ Good Dairy）,911,0.00,0.00
巨牌,911,0.00,0.00
众舰行,911,0.00,0.00
永和堂（YONGHETANG）,911,0.00,0.00
赛金司舒,911,0.00,0.00
追捧,911,0.00,0.00
牧鹿川,911,0.00,0.00
御太医,911,0.00,0.00
芙顺堂,911,0.00,0.00
保元德,911,0.00,0.00
修正,911,0.00,0.00
Bulesom,911,0.00,0.00
健宝堂,911,0.00,0.00
永庆年堂,911,0.00,0.00
药剂天下,911,0.00,0.00
蓓多康,911,0.00,0.00
广药白云山 白云山,911,0.00,0.00
初优享,911,0.00,0.00
仙养元,911,0.00,0.00
DonCoo,911,0.00,0.00
余未,911,0.00,0.00
藏有引力,911,50.00,0.00
藏千岁,911,0.00,0.00
儒庆堂,911,50.00,0.00
吉方,911,50.00,0.00
宇航人,911,50.00,100.00
燕南妃,911,0.00,0.00
妈咪爱倍力健,911,0.00,0.00
炫乐熊,911,0.00,0.00
WEBBER NATURALS,911,0.00,0.00
LIFE EXTENSION,911,0.00,0.00
佳贝方,911,0.00,0.00
小葵花 BAOBAO,911,0.00,0.00
橘香芯蕊,911,0.00,0.00
诺升,911,0.00,0.00
承一酱,911,0.00,0.00
参禄堂,911,0.00,0.00
健尔曼,911,0.00,0.00
韵铉,911,0.00,0.00
硬拾立,911,0.00,0.00
芁医生,911,0.00,0.00
贝康劲,911,0.00,0.00
国本草药,911,0.00,0.00
佐福源,911,0.00,0.00
启智美 GIFT INTELLECT,911,50.00,0.00
SMILEELF,911,0.00,0.00
洛芳斋,911,0.00,0.00
正颐堂,911,50.00,0.00
泰国紫御,911,0.00,0.00
博力威 BLW,911,0.00,0.00
KE,911,0.00,0.00
谷本百年,911,0.00,0.00
东康恩,911,0.00,0.00
不负容华,911,0.00,0.00
知敬堂,911,0.00,0.00
温芳,911,0.00,0.00
SOD,912,0.00,0.00
春娟,912,0.00,0.00
乐辅智,912,0.00,0.00
庆仁,912,0.00,0.00
三圣宝,912,0.00,0.00
万邦,912,0.00,0.00
鑫福来（SUNFLY）,912,0.00,0.00
鸿洋神,912,0.00,0.00
盈康,912,0.00,0.00
禾博士（Dr．Herbs）,912,0.00,0.00
美乐佳,912,0.00,0.00
倍力莱特,912,0.00,0.00
康百力（COMBALI）,912,0.00,0.00
神芝王朝,912,0.00,0.00
切糕王子,912,0.00,0.00
巨日,912,0.00,0.00
益生谷（ESG）,912,0.00,0.00
星群,912,0.00,0.00
瑞珠,912,0.00,0.00
安泰,912,0.00,0.00
在里阿（ZERIA）,912,0.00,0.00
megafood,912,0.00,0.00
气血和,912,0.00,0.00
宇航人,912,0.00,0.00
盛世三诚,912,0.00,0.00
爱倍,912,0.00,0.00
贝斯迪,912,0.00,0.00
巴康,912,0.00,0.00
美罗,912,0.00,0.00
广生堂,912,0.00,0.00
倍姿,912,0.00,0.00
VORST,912,0.00,0.00
康恩贝贝,912,0.00,0.00
初喜,912,0.00,0.00
京豫,912,0.00,0.00
慈安堂,912,0.00,0.00
恒佳,912,100.00,0.00
Qivaro,912,0.00,0.00
古保堂,912,0.00,0.00
药健百瑞,912,0.00,0.00
OLOEY,912,100.00,0.00
修正健康,912,0.00,0.00
H,912,0.00,0.00
同集本草,912,0.00,0.00
亚泰康派,912,0.00,0.00
多特倍斯（Doctor's Best）,912,0.00,0.00
禾沐康,912,0.00,0.00
新尚,912,0.00,0.00
G‘NITE,912,0.00,0.00
IGIFTFIRE,912,0.00,0.00
庭燕庄（TING YAN ZHUANG）,912,0.00,0.00
谷医堂,912,0.00,0.00
福凤容颜,912,0.00,0.00
美疆駝王（MeiJiangTuoWang）,912,100.00,0.00
侯子园,912,0.00,0.00
梅花乡,912,0.00,0.00
ProHealth,912,0.00,0.00
淳生元（CHUNSHENGYUAN）,912,0.00,0.00
悟青春（WUQINGCHUN）,912,0.00,0.00
睿德堂,912,0.00,0.00
朽山（XIUSHAN）,912,0.00,0.00
蓉芸堂,912,0.00,0.00
祥醫堂,912,0.00,0.00
祥沃良品,912,0.00,0.00
白云山星群,912,0.00,0.00
元化集珍,912,0.00,0.00
京善堂,912,0.00,0.00
藏气阁,912,0.00,0.00
三圣宝,912,0.00,0.00
若善,912,100.00,0.00
天美仕,912,0.00,0.00
辰本草,912,0.00,0.00
陈力新,912,0.00,0.00
达埔李和元,912,0.00,0.00
轻钻,912,0.00,0.00
严料坊,912,0.00,0.00
八桂药谷,912,0.00,0.00
源动素,912,0.00,0.00
恋派,912,100.00,0.00
延复堂,912,0.00,0.00
康亲堂,912,0.00,0.00
益天汇,912,0.00,0.00
康信制药,912,0.00,0.00
沙漠行者,912,0.00,0.00
捷瘦,912,0.00,0.00
利吉氏,912,0.00,0.00
谷思元,912,0.00,0.00
暖蔻,912,0.00,0.00
九春康,912,0.00,0.00
千宝高壮,912,0.00,0.00
九芝堂芝,912,0.00,0.00
众玖福堂,912,0.00,0.00
京营,912,0.00,0.00
泽古堂,912,0.00,0.00
奇方臻品,912,0.00,0.00
美禧冠,912,0.00,0.00
正信,912,0.00,0.00
塑时光,912,0.00,0.00
翠云堂,912,0.00,0.00
COVO COYO,912,0.00,0.00
怀之风,912,0.00,0.00
东革阿里,912,0.00,0.00
禾善维斯,912,0.00,0.00
帆济堂,912,0.00,0.00
味纠纠,912,0.00,0.00
艾医家,912,0.00,0.00
伟博,912,0.00,0.00
卧蝉,912,0.00,0.00
福小禧,912,0.00,0.00
采乐,912,0.00,0.00
好膳道,912,0.00,0.00
唤盈,912,0.00,0.00
袅烟阁,912,0.00,0.00
怀生堂,912,0.00,0.00
MKULE,912,0.00,0.00
HMOJI NUTRITION,912,0.00,0.00
preparation H,912,0.00,0.00
YEFE,912,0.00,0.00
花予意,912,0.00,0.00
喜养健,912,0.00,0.00
道味儿,912,0.00,0.00
茉度,913,0.00,0.00
